"","Direccion","Separacion","n","nYes","nNo","p","Observadores","Condicion","Grupo","Fijacion"
"2321","45",17,11,3,8,0.272727272727273,"nga","pos","rt","NO"
"2322","45",20,5,1,4,0.2,"nga","pos","rt","NO"
"2323","90",3,11,8,3,0.727272727272727,"nga","pos","rt","NO"
"2324","90",5,11,5,6,0.454545454545455,"nga","pos","rt","NO"
"2325","90",8,5,3,2,0.6,"nga","pos","rt","NO"
"2326","90",11,13,4,9,0.307692307692308,"nga","pos","rt","NO"
"2327","90",14,8,5,3,0.625,"nga","pos","rt","NO"
"2328","90",17,10,5,5,0.5,"nga","pos","rt","NO"
"2329","90",20,9,7,2,0.777777777777778,"nga","pos","rt","NO"
"2330","0",3,1,0,1,0,"pab","pos","cl","NO"
"2331","0",5,1,1,0,1,"pab","pos","cl","NO"
"2332","0",8,8,8,0,1,"pab","pos","cl","NO"
"2333","0",11,5,4,1,0.8,"pab","pos","cl","NO"
"2334","0",14,6,3,3,0.5,"pab","pos","cl","NO"
"2335","0",17,4,3,1,0.75,"pab","pos","cl","NO"
"2336","0",20,6,5,1,0.833333333333333,"pab","pos","cl","NO"
"2337","135",3,6,5,1,0.833333333333333,"pab","pos","cl","NO"
"2338","135",5,3,3,0,1,"pab","pos","cl","NO"
"2339","135",8,4,4,0,1,"pab","pos","cl","NO"
"2340","135",11,8,6,2,0.75,"pab","pos","cl","NO"
"2341","135",14,2,0,2,0,"pab","pos","cl","NO"
"2342","135",17,5,1,4,0.2,"pab","pos","cl","NO"
"2343","135",20,6,3,3,0.5,"pab","pos","cl","NO"
"2344","45",3,5,4,1,0.8,"pab","pos","cl","NO"
"2345","45",5,7,7,0,1,"pab","pos","cl","NO"
"2346","45",8,5,5,0,1,"pab","pos","cl","NO"
"2347","45",11,5,4,1,0.8,"pab","pos","cl","NO"
"2348","45",14,7,4,3,0.571428571428571,"pab","pos","cl","NO"
"2349","45",17,2,1,1,0.5,"pab","pos","cl","NO"
"2350","45",20,3,3,0,1,"pab","pos","cl","NO"
"2351","90",3,4,3,1,0.75,"pab","pos","cl","NO"
"2352","90",5,4,4,0,1,"pab","pos","cl","NO"
"2353","90",8,3,3,0,1,"pab","pos","cl","NO"
"2354","90",11,7,4,3,0.571428571428571,"pab","pos","cl","NO"
"2355","90",14,4,4,0,1,"pab","pos","cl","NO"
"2356","90",17,8,5,3,0.625,"pab","pos","cl","NO"
"2357","90",20,1,0,1,0,"pab","pos","cl","NO"
"2358","0",3,5,5,0,1,"at-","pos","hk","NO"
"2359","0",5,5,4,1,0.8,"at-","pos","hk","NO"
"2360","0",8,8,8,0,1,"at-","pos","hk","NO"
"2361","0",11,8,7,1,0.875,"at-","pos","hk","NO"
"2362","0",14,8,5,3,0.625,"at-","pos","hk","NO"
"2363","0",17,8,6,2,0.75,"at-","pos","hk","NO"
"2364","0",20,8,5,3,0.625,"at-","pos","hk","NO"
"2365","45",3,9,9,0,1,"at-","pos","hk","NO"
"2366","45",5,6,4,2,0.666666666666667,"at-","pos","hk","NO"
"2367","45",8,7,5,2,0.714285714285714,"at-","pos","hk","NO"
"2368","45",11,7,7,0,1,"at-","pos","hk","NO"
"2369","45",14,5,4,1,0.8,"at-","pos","hk","NO"
"2370","45",17,8,5,3,0.625,"at-","pos","hk","NO"
"2371","45",20,3,2,1,0.666666666666667,"at-","pos","hk","NO"
"2372","90",3,6,5,1,0.833333333333333,"at-","pos","hk","NO"
"2373","90",5,5,5,0,1,"at-","pos","hk","NO"
"2374","90",8,5,5,0,1,"at-","pos","hk","NO"
"2375","90",11,4,2,2,0.5,"at-","pos","hk","NO"
"2376","90",14,7,5,2,0.714285714285714,"at-","pos","hk","NO"
"2377","90",17,8,5,3,0.625,"at-","pos","hk","NO"
"2378","90",20,4,3,1,0.75,"at-","pos","hk","NO"
"2379","135",3,4,4,0,1,"at-","pos","hk","NO"
"2380","135",5,8,6,2,0.75,"at-","pos","hk","NO"
"2381","135",8,8,6,2,0.75,"at-","pos","hk","NO"
"2382","135",11,4,2,2,0.5,"at-","pos","hk","NO"
"2383","135",14,7,5,2,0.714285714285714,"at-","pos","hk","NO"
"2384","135",17,5,4,1,0.8,"at-","pos","hk","NO"
"2385","135",20,6,4,2,0.666666666666667,"at-","pos","hk","NO"
"2386","0",3,5,5,0,1,"lfa","pos","hk","NO"
"2387","0",5,4,4,0,1,"lfa","pos","hk","NO"
"2388","0",8,3,3,0,1,"lfa","pos","hk","NO"
"2389","0",11,6,5,1,0.833333333333333,"lfa","pos","hk","NO"
"2390","0",14,4,2,2,0.5,"lfa","pos","hk","NO"
"2391","0",17,5,3,2,0.6,"lfa","pos","hk","NO"
"2392","0",20,4,3,1,0.75,"lfa","pos","hk","NO"
"2393","45",3,3,3,0,1,"lfa","pos","hk","NO"
"2394","45",5,6,3,3,0.5,"lfa","pos","hk","NO"
"2395","45",8,6,3,3,0.5,"lfa","pos","hk","NO"
"2396","45",11,2,1,1,0.5,"lfa","pos","hk","NO"
"2397","45",14,2,0,2,0,"lfa","pos","hk","NO"
"2398","45",17,3,0,3,0,"lfa","pos","hk","NO"
"2399","45",20,3,0,3,0,"lfa","pos","hk","NO"
"2400","90",3,4,4,0,1,"lfa","pos","hk","NO"
"2401","90",5,2,1,1,0.5,"lfa","pos","hk","NO"
"2402","90",11,5,2,3,0.4,"lfa","pos","hk","NO"
"2403","90",14,6,1,5,0.166666666666667,"lfa","pos","hk","NO"
"2404","90",17,6,1,5,0.166666666666667,"lfa","pos","hk","NO"
"2405","90",20,2,1,1,0.5,"lfa","pos","hk","NO"
"2406","135",3,4,4,0,1,"lfa","pos","hk","NO"
"2407","135",5,4,1,3,0.25,"lfa","pos","hk","NO"
"2408","135",8,5,3,2,0.6,"lfa","pos","hk","NO"
"2409","135",11,5,4,1,0.8,"lfa","pos","hk","NO"
"2410","135",14,6,1,5,0.166666666666667,"lfa","pos","hk","NO"
"2411","135",17,2,1,1,0.5,"lfa","pos","hk","NO"
"2412","135",20,5,2,3,0.4,"lfa","pos","hk","NO"
"2413","0",3,10,7,3,0.7,"lms","pos","hk","NO"
"2414","0",5,9,8,1,0.888888888888889,"lms","pos","hk","NO"
"2415","0",8,8,5,3,0.625,"lms","pos","hk","NO"
"2416","0",11,8,4,4,0.5,"lms","pos","hk","NO"
"2417","0",14,7,1,6,0.142857142857143,"lms","pos","hk","NO"
"2418","0",17,9,4,5,0.444444444444444,"lms","pos","hk","NO"
"2419","0",20,9,7,2,0.777777777777778,"lms","pos","hk","NO"
"2420","45",3,8,8,0,1,"lms","pos","hk","NO"
"2421","45",5,9,7,2,0.777777777777778,"lms","pos","hk","NO"
"2422","45",8,10,4,6,0.4,"lms","pos","hk","NO"
"2423","45",11,9,5,4,0.555555555555556,"lms","pos","hk","NO"
"2424","45",14,6,0,6,0,"lms","pos","hk","NO"
"2425","45",17,7,3,4,0.428571428571429,"lms","pos","hk","NO"
"2426","45",20,6,4,2,0.666666666666667,"lms","pos","hk","NO"
"2427","90",3,11,8,3,0.727272727272727,"lms","pos","hk","NO"
"2428","90",5,8,7,1,0.875,"lms","pos","hk","NO"
"2429","90",8,6,4,2,0.666666666666667,"lms","pos","hk","NO"
"2430","90",11,8,7,1,0.875,"lms","pos","hk","NO"
"2431","90",14,11,6,5,0.545454545454545,"lms","pos","hk","NO"
"2432","90",17,10,5,5,0.5,"lms","pos","hk","NO"
"2433","90",20,9,4,5,0.444444444444444,"lms","pos","hk","NO"
"2434","135",3,5,4,1,0.8,"lms","pos","hk","NO"
"2435","135",5,11,8,3,0.727272727272727,"lms","pos","hk","NO"
"2436","135",8,9,6,3,0.666666666666667,"lms","pos","hk","NO"
"2437","135",11,6,5,1,0.833333333333333,"lms","pos","hk","NO"
"2438","135",14,8,5,3,0.625,"lms","pos","hk","NO"
"2439","135",17,8,4,4,0.5,"lms","pos","hk","NO"
"2440","135",20,9,3,6,0.333333333333333,"lms","pos","hk","NO"
"2441","0",3,3,3,0,1,"mcm","pos","hk","NO"
"2442","0",5,2,2,0,1,"mcm","pos","hk","NO"
"2443","0",8,2,2,0,1,"mcm","pos","hk","NO"
"2444","0",11,5,2,3,0.4,"mcm","pos","hk","NO"
"2445","0",14,3,2,1,0.666666666666667,"mcm","pos","hk","NO"
"2446","0",17,6,5,1,0.833333333333333,"mcm","pos","hk","NO"
"2447","0",20,3,1,2,0.333333333333333,"mcm","pos","hk","NO"
"2448","45",3,2,2,0,1,"mcm","pos","hk","NO"
"2449","45",5,6,5,1,0.833333333333333,"mcm","pos","hk","NO"
"2450","45",8,3,0,3,0,"mcm","pos","hk","NO"
"2451","45",11,1,1,0,1,"mcm","pos","hk","NO"
"2452","45",14,2,1,1,0.5,"mcm","pos","hk","NO"
"2453","45",17,4,2,2,0.5,"mcm","pos","hk","NO"
"2454","45",20,2,1,1,0.5,"mcm","pos","hk","NO"
"2455","90",3,5,2,3,0.4,"mcm","pos","hk","NO"
"2456","90",5,3,2,1,0.666666666666667,"mcm","pos","hk","NO"
"2457","90",8,2,1,1,0.5,"mcm","pos","hk","NO"
"2458","90",11,5,3,2,0.6,"mcm","pos","hk","NO"
"2459","90",14,4,2,2,0.5,"mcm","pos","hk","NO"
"2460","90",17,3,2,1,0.666666666666667,"mcm","pos","hk","NO"
"2461","90",20,1,1,0,1,"mcm","pos","hk","NO"
"2462","135",3,3,2,1,0.666666666666667,"mcm","pos","hk","NO"
"2463","135",5,2,2,0,1,"mcm","pos","hk","NO"
"2464","135",8,4,2,2,0.5,"mcm","pos","hk","NO"
"2465","135",11,1,0,1,0,"mcm","pos","hk","NO"
"2466","135",14,3,2,1,0.666666666666667,"mcm","pos","hk","NO"
"2467","135",17,4,2,2,0.5,"mcm","pos","hk","NO"
"2468","135",20,1,0,1,0,"mcm","pos","hk","NO"
